,,,-48.63999784E-3,36.00000000,,,,,-48.63999784E-3,-4.00000000,
,,,-48.59999940E-3,40.00000000,,,,,-48.59999940E-3,-2.0000000,
,,,-48.55999723E-3,40.00000000,,,,,-48.55999723E-3,-2.0000000,
,,,-48.51999879E-3,44.00000000,,,,,-48.51999879E-3,-4.00000000,
,,,-48.48000035E-3,48.00000000,,,,,-48.48000035E-3,-2.0000000,
,,,-48.43999818E-3,48.00000000,,,,,-48.43999818E-3,-4.00000000,
,,,-48.39999974E-3,48.00000000,,,,,-48.39999974E-3,-2.0000000,
,,,-48.35999757E-3,52.00000000,,,,,-48.35999757E-3,-4.00000000,
,,,-48.31999913E-3,50.00000000,,,,,-48.31999913E-3,-2.0000000,
,,,-48.27999696E-3,54.00000000,,,,,-48.27999696E-3,-2.0000000,
,,,-48.23999852E-3,58.000000000,,,,,-48.23999852E-3,-4.00000000,
,,,-48.20000008E-3,64.000000000,,,,,-48.20000008E-3,-4.00000000,
,,,-48.15999791E-3,68.000000000,,,,,-48.15999791E-3,-2.0000000,
,,,-48.11999947E-3,72.000000000,,,,,-48.11999947E-3,-2.0000000,
,,,-48.07999730E-3,72.000000000,,,,,-48.07999730E-3,-4.00000000,
,,,-48.03999886E-3,72.000000000,,,,,-48.03999886E-3,-2.0000000,
,,,-48.00000042E-3,74.000000000,,,,,-48.00000042E-3,-2.0000000,
,,,-47.95999825E-3,78.000000000,,,,,-47.95999825E-3,-4.00000000,
,,,-47.91999981E-3,80.000000000,,,,,-47.91999981E-3,-2.0000000,
,,,-47.87999764E-3,82.000000000,,,,,-47.87999764E-3,-4.00000000,
,,,-47.83999920E-3,86.000000000,,,,,-47.83999920E-3,-4.00000000,
,,,-47.79999703E-3,92.000000000,,,,,-47.79999703E-3,-4.00000000,
,,,-47.75999859E-3,92.000000000,,,,,-47.75999859E-3,-4.00000000,
,,,-47.72000015E-3,92.000000000,,,,,-47.72000015E-3,-4.00000000,
,,,-47.67999798E-3,96.000000000,,,,,-47.67999798E-3,-2.0000000,
,,,-47.63999954E-3,100.0000000,,,,,-47.63999954E-3,-2.0000000,
,,,-47.59999737E-3,102.0000000,,,,,-47.59999737E-3,-2.0000000,
,,,-47.55999893E-3,104.0000000,,,,,-47.55999893E-3,-4.00000000,
