Record Length,2500,Points,-499.999965541E-6,4.40000010,,Record Length,2500,Points,-499.999965541E-6,4.40000010,
Sample Interval,400.00000467E-9,s,-499.599962495E-6,4.59999990,,Sample Interval,400.00000467E-9,s,-499.599962495E-6,4.20000029,
Trigger Point,1.2500000E3,Samples,-499.199959449E-6,4.59999990,,Trigger Point,1.2500000E3,Samples,-499.199959449E-6,4.40000010,
,,,-498.799956404E-6,4.80000019,,,,,-498.799956404E-6,4.00000000,
,,,-498.399953358E-6,4.40000010,,,,,-498.399953358E-6,4.40000010,
,,,-497.999950312E-6,4.59999990,,,,,-497.999950312E-6,4.40000010,
Source,CH1,,-497.599947266E-6,4.59999990,,Source,CH2,,-497.599947266E-6,4.20000029,
Vertical Units,Volts,,-497.199944220E-6,0.0,,Vertical Units,Volts,,-497.199944220E-6,4.20000029,
Vertical Scale,5.00000007,,-496.799941175E-6,200.00000298E-3,,Vertical Scale,5.00000007,,-496.799941175E-6,4.40000010,
Vertical Offset,0,,-496.399938129E-6,-200.00000298E-3,,Vertical Offset,0,,-496.399938129E-6,4.20000029,
Horizontal Units,s,,-495.999993291E-6,0.0,,Horizontal Units,s,,-495.999993291E-6,4.40000010,
Horizontal Scale,100.0000012E-6,,-495.599990245E-6,0.0,,Horizontal Scale,100.0000012E-6,,-495.599990245E-6,4.20000029,
Pt Fmt,Y,,-495.199987199E-6,0.0,,Pt Fmt,Y,,-495.199987199E-6,4.00000000,
Yzero,2.0000000,,-494.799984153E-6,-200.00000298E-3,,Yzero,-2.0000000,,-494.799984153E-6,4.20000029,
Probe Atten,10.0000000,,-494.399981108E-6,0.0,,Probe Atten,10.0000000,,-494.399981108E-6,4.40000010,
,,,-493.999978062E-6,-200.00000298E-3,,,,,-493.999978062E-6,4.40000010,
Note,TBS 1072B - 20:28:45   21/10/2016,,-493.599975016E-6,-200.00000298E-3,,Note,TBS 1072B - 20:28:45   21/10/2016,,-493.599975016E-6,4.20000029,
,,,-493.199971970E-6,0.0,,,,,-493.199971970E-6,4.20000029,
,,,-492.799968924E-6,0.0,,,,,-492.799968924E-6,4.20000029,
,,,-492.399965879E-6,-400.00000596E-3,,,,,-492.399965879E-6,4.00000000,
,,,-491.999962833E-6,-200.00000298E-3,,,,,-491.999962833E-6,4.40000010,
,,,-491.599959787E-6,-200.00000298E-3,,,,,-491.599959787E-6,4.00000000,
,,,-491.199956741E-6,-200.00000298E-3,,,,,-491.199956741E-6,4.20000029,
,,,-490.799953695E-6,0.0,,,,,-490.799953695E-6,4.20000029,
,,,-490.399950650E-6,-200.00000298E-3,,,,,-490.399950650E-6,4.40000010,
,,,-489.999947604E-6,0.0,,,,,-489.999947604E-6,4.40000010,
,,,-489.599944558E-6,0.0,,,,,-489.599944558E-6,4.00000000,
,,,-489.199941512E-6,-200.00000298E-3,,,,,-489.199941512E-6,4.20000029,
,,,-488.799938466E-6,0.0,,,,,-488.799938466E-6,4.00000000,
,,,-488.399993628E-6,0.0,,,,,-488.399993628E-6,4.20000029,
,,,-487.999961479E-6,-200.00000298E-3,,,,,-487.999961479E-6,4.20000029,
,,,-487.599958433E-6,-200.00000298E-3,,,,,-487.599958433E-6,4.00000000,
,,,-487.199955387E-6,0.0,,,,,-487.199955387E-6,4.20000029,
,,,-486.799952341E-6,0.0,,,,,-486.799952341E-6,4.00000000,
,,,-486.399978399E-6,-200.00000298E-3,,,,,-486.399978399E-6,4.20000029,
,,,-485.999975353E-6,0.0,,,,,-485.999975353E-6,4.40000010,
,,,-485.599972308E-6,-200.00000298E-3,,,,,-485.599972308E-6,4.20000029,
